State,Number of Schools (Public/Private),Acceptance Rate,SAT Score,Tuition (Residents),Student Population,Graduation Rate,Students to Faculty Ratio
Alabama,88 (44/44),76.63%,"1,097","$14,528 ($10,656)","292,319",39.02%,15.49 to 1
Alaska,10 (6/4),71.51%,"1,235","$16,104 ($9,373)","22,106",37.50%,9.38 to 1
American Samoa,1 (1/0),-,-,"$5,450 ($5,150)","1,081",36.00%,14.00 to 1
Arizona,136 (45/91),77.65%,"1,133","$18,795 ($9,366)","652,340",39.76%,19.94 to 1
Arkansas,94 (39/55),67.79%,"1,085","$11,363 ($8,870)","149,294",40.26%,14.38 to 1
California,766 (199/567),65.26%,"1,278","$21,764 ($14,817)","2,637,722",54.87%,18.30 to 1
Colorado,112 (37/75),80.19%,"1,121","$17,223 ($11,735)","357,406",53.97%,15.99 to 1
Connecticut,93 (35/58),68.34%,"1,237","$28,262 ($19,861)","193,184",52.38%,13.58 to 1
Delaware,23 (7/16),73.01%,"1,248","$17,097 ($13,280)","58,756",46.86%,14.22 to 1
District of Columbia,26 (2/24),63.25%,"1,277","$27,797 ($25,709)","97,344",63.54%,14.43 to 1
Federated States of Micronesia,1 (1/0),77.29%,-,"$4,750 ($4,750)","1,861",29.00%,14.00 to 1
Florida,428 (97/331),72.45%,"1,131","$18,311 ($12,541)","1,062,525",56.16%,16.56 to 1
Georgia,184 (67/117),70.05%,"1,114","$15,705 ($11,639)","548,124",41.30%,16.24 to 1
Guam,3 (2/1),73.91%,-,"$7,591 ($5,028)","5,438",37.67%,13.67 to 1
Hawaii,27 (11/16),86.64%,"1,141","$14,849 ($9,594)","60,010",45.06%,15.53 to 1
Idaho,38 (9/29),83.56%,"1,102","$15,805 ($10,783)","124,663",62.22%,13.83 to 1
Illinois,279 (67/212),75.18%,"1,121","$20,596 ($17,410)","688,755",48.96%,13.86 to 1
Indiana,139 (39/100),79.39%,"1,151","$21,608 ($16,975)","419,859",57.98%,14.25 to 1
Iowa,85 (24/61),78.70%,"1,117","$21,226 ($19,345)","241,445",57.94%,12.86 to 1
Kansas,85 (36/49),77.16%,963,"$15,143 ($12,540)","193,614",45.95%,13.33 to 1
